technology,year,parameter,value,unit,source,further description,currency_year
decentral air-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2013
decentral air-sourced heat pump,2030,efficiency,3,per unit,default for costs,,
decentral air-sourced heat pump,2030,discount rate,0.04,per unit,Palzer thesis,,
decentral ground-sourced heat pump,2030,investment,1400,EUR/kWth,Palzer thesis,,2013
decentral ground-sourced heat pump,2030,lifetime,20,years,Palzer thesis,,
decentral ground-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2013
decentral ground-sourced heat pump,2030,efficiency,4,per unit,default for costs,,
decentral ground-sourced heat pump,2030,discount rate,0.04,per unit,Palzer thesis,,
central air-sourced heat pump,2030,investment,700,EUR/kWth,Palzer thesis,,2013
central air-sourced heat pump,2030,lifetime,20,years,Palzer thesis,,
central air-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2013
central air-sourced heat pump,2030,efficiency,3,per unit,default for costs,,
retrofitting I,2030,discount rate,0.04,per unit,Palzer thesis,,
retrofitting I,2030,lifetime,50,years,Palzer thesis,,
retrofitting I,2030,FOM,1,%/year,Palzer thesis,,2013
retrofitting I,2030,investment,50,EUR/m2/fraction reduction,Palzer thesis,,2013
retrofitting II,2030,discount rate,0.04,per unit,Palzer thesis,,
retrofitting II,2030,lifetime,50,years,Palzer thesis,,
retrofitting II,2030,FOM,1,%/year,Palzer thesis,,2013
retrofitting II,2030,investment,250,EUR/m2/fraction reduction,Palzer thesis,,2013
water tank charger,2030,efficiency,0.9,per unit,HP,,
water tank discharger,2030,efficiency,0.9,per unit,HP,,
decentral water tank storage,2030,investment,860,EUR/m3,IWES Interaktion,,2013
decentral water tank storage,2030,FOM,1,%/year,HP,,2013
decentral water tank storage,2030,lifetime,20,years,HP,,
decentral water tank storage,2030,discount rate,0.04,per unit,Palzer thesis,,
central water tank storage,2030,investment,30,EUR/m3,IWES Interaktion,,2013
central water tank storage,2030,FOM,1,%/year,HP,,2013
central water tank storage,2030,lifetime,40,years,HP,,
decentral resistive heater,2030,investment,100,EUR/kWhth,Schaber thesis,,2013
decentral resistive heater,2030,lifetime,20,years,Schaber thesis,,
decentral resistive heater,2030,FOM,2,%/year,Schaber thesis,,2013
decentral resistive heater,2030,efficiency,0.9,per unit,Schaber thesis,,
decentral resistive heater,2030,discount rate,0.04,per unit,Palzer thesis,,
central resistive heater,2030,investment,100,EUR/kWhth,Schaber thesis,,2013
central resistive heater,2030,lifetime,20,years,Schaber thesis,,
central resistive heater,2030,FOM,2,%/year,Schaber thesis,,2013
central resistive heater,2030,efficiency,0.9,per unit,Schaber thesis,,
decentral gas boiler,2030,investment,175,EUR/kWhth,Palzer thesis,,2013
decentral gas boiler,2030,lifetime,20,years,Palzer thesis,,
decentral gas boiler,2030,FOM,2,%/year,Palzer thesis,,2013
decentral gas boiler,2030,efficiency,0.9,per unit,Palzer thesis,,
decentral gas boiler,2030,discount rate,0.04,per unit,Palzer thesis,,
central gas boiler,2030,investment,63,EUR/kWhth,Palzer thesis,,2013
central gas boiler,2030,lifetime,22,years,Palzer thesis,,
central gas boiler,2030,FOM,1,%/year,Palzer thesis,,2013
central gas boiler,2030,efficiency,0.9,per unit,Palzer thesis,,
decentral CHP,2030,lifetime,25,years,HP,,
decentral CHP,2030,investment,1400,EUR/kWel,HP,,2013
decentral CHP,2030,FOM,3,%/year,HP,,2013
decentral CHP,2030,discount rate,0.04,per unit,Palzer thesis,,
central CHP,2030,lifetime,25,years,HP,,
central CHP,2030,investment,650,EUR/kWel,HP,,2013
central CHP,2030,FOM,3,%/year,HP,,2013
decentral solar thermal,2030,discount rate,0.04,per unit,Palzer thesis,,
decentral solar thermal,2030,FOM,1.3,%/year,HP,,2013
decentral solar thermal,2030,investment,270000,EUR/1000m2,HP,,2013
decentral solar thermal,2030,lifetime,20,years,HP,,
central solar thermal,2030,FOM,1.4,%/year,HP,,2013
central solar thermal,2030,investment,140000,EUR/1000m2,HP,,2013
central solar thermal,2030,lifetime,20,years,HP,,
HVAC overhead,2030,investment,400,EUR/MW/km,Hagspiel,,2013
HVAC overhead,2030,lifetime,40,years,Hagspiel,,
HVAC overhead,2030,FOM,2,%/year,Hagspiel,,2013
HVDC overhead,2030,investment,400,EUR/MW/km,Hagspiel,,2013
HVDC overhead,2030,lifetime,40,years,Hagspiel,,
HVDC overhead,2030,FOM,2,%/year,Hagspiel,,2013
HVDC submarine,2030,investment,2000,EUR/MW/km,DTU report based on Fig 34 of https://ec.europa.eu/energy/sites/ener/files/documents/2014_nsog_report.pdf,,2013
HVDC submarine,2030,lifetime,40,years,Hagspiel,,
HVDC submarine,2030,FOM,2,%/year,Hagspiel,,2013
HVDC inverter pair,2030,investment,150000,EUR/MW,Hagspiel,,2013
HVDC inverter pair,2030,lifetime,40,years,Hagspiel,,
HVDC inverter pair,2030,FOM,2,%/year,Hagspiel,,2013
csp-tower,2030,FOM,1.1,%/year,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,2013
csp-tower,2030,investment,108.37,"EUR/kW_th,dp",ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,2013
csp-tower,2030,lifetime,30,years,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,
csp-tower TES,2030,FOM,1.1,%/year,see solar-tower.,,2013
csp-tower TES,2030,investment,14.52,EUR/kWh_th,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,2013
csp-tower TES,2030,lifetime,30,years,see solar-tower.,,
csp-tower power block,2030,FOM,1.1,%/year,see solar-tower.,,2013
csp-tower power block,2030,investment,759.17,EUR/kW_e,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,2013
csp-tower power block,2030,lifetime,30,years,see solar-tower.,,
